AK;HOZ1;HOZ2;HOZ3;HOZ4;HOZ5
25565;2182;2654;3290;4241;4876
30000;2558;3109;3847;4948;5686
35000;2991;3629;4483;5760;6613
40000;3411;4138;5112;6565;7538
45000;3843;4657;5743;7372;8458
50000;4269;5167;6358;8154;9346
100000;8531;10206;12442;15796;18032
150000;12799;15128;18236;22900;26008
200000;17061;19927;23745;29471;33289
250000;21324;24622;29018;35610;40006
300000;24732;28581;33715;41407;46540
350000;27566;32044;38017;46970;52944
400000;29999;35114;41940;52175;59001
450000;32058;37820;45498;57024;64702
500000;33738;40137;48667;61464;69994
1000000;60822;72089;87112;109650;124674
1500000;88184;104284;125749;157951;179416
2000000;115506;136436;164341;206201;234105
2500000;142830;168598;202953;254487;288842
3000000;171226;200401;239295;297639;336534
3500000;199766;232158;275353;340143;383337
4000000;228305;263920;311411;382642;430133
4500000;256840;295678;347465;425145;476931
5000000;285379;327439;383522;467649;523731
10000000;570757;648805;752869;908967;1013031
15000000;856136;964745;1109559;1326782;1471595
20000000;1141514;1275044;1453088;1720148;1898192
25000000;1426893;1586268;1798766;2117513;2330011
25564594;1459117;1621426;1837835;2162447;2378856
