AK;GEZ1;GEZ2;GEZ3
50000;1078;1347;1683
150000;2040;2550;3187
200000;2411;3013;3767
250000;2745;3431;4288
300000;3052;3814;4768
350000;3338;4171;5214
400000;3607;4508;5635
450000;3862;4827;6034
500000;4106;5132;6415
1000000;6142;7676;9596
1500000;7774;9715;12145
2000000;9188;11483;14355
2500000;10460;13072;16342
3000000;11629;14533;18168
3500000;12718;15895;19870
4000000;13744;17177;21473
4500000;14718;18394;22994
5000000;15647;19555;24446
7500000;19803;24749;30939
10000000;23406;29252;36568
12500000;26646;33301;41630
15000000;29624;37022;46282
17500000;32399;40491;50618
20000000;35013;43758;54701
22500000;37493;46857;58576
25000000;39860;49815;62273
