TP.0034-RÜB:Planung/Grunderwerb:0,0:MON:31.05.2001:31.05.2001
TP.0034-RÜB:Genehmigung:15,0:MON:31.05.2001:30.08.2002
TP.0034-RÜB:Ausführung:14,0:MON:02.09.2002:30.10.2003
TP.0036-KA:Planung/Grunderwerb:0,0:MON:29.12.2005:29.12.2005
TP.0036-KA:Genehmigung:0,0:MON:29.12.2005:29.12.2005
TP.0036-KA:Ausführung:26,0:MON:29.12.2005:28.02.2008
TP.0040-KA:Planung/Grunderwerb:0,0:MON:29.12.2004:29.12.2004
TP.0040-KA:Genehmigung:0,0:MON:29.12.2004:29.12.2004
TP.0040-KA:Ausführung:12,0:MON:29.12.2004:28.12.2005
TP.0040-KA:Planung/Grunderwerb:0,0:MON:29.12.2004:29.12.2004
TP.0040-KA:Genehmigung:0,0:MON:29.12.2004:29.12.2004
TP.0040-KA:Ausführung:12,0:MON:29.12.2004:28.12.2005
TP.0043-KA:Planung/Grunderwerb:23,8:MON:02.01.1995:19.12.1996
TP.0043-KA:Genehmigung:0,1:MON:20.12.1996:23.12.1996
TP.0043-KA:Ausführung:95,8:MON:27.12.1996:16.12.2004
TP.0046-KA:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0046-KA:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0046-KA:Ausführung:12,0:MON:03.01.2005:02.01.2006
TP.0053-KA:Planung/Grunderwerb:8,9:MON:02.02.2004:26.10.2004
TP.0053-KA:Genehmigung:2,1:MON:27.10.2004:29.12.2004
TP.0053-KA:Ausführung:12,0:MON:30.12.2004:29.12.2005
TP.0054-KA:Planung/Grunderwerb:8,6:MON:10.02.2004:26.10.2004
TP.0054-KA:Genehmigung:2,1:MON:27.10.2004:29.12.2004
TP.0054-KA:Ausführung:12,0:MON:30.12.2004:29.12.2005
TP.0056-KA:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0056-KA:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0056-KA:Ausführung:12,0:MON:03.01.2005:02.01.2006
TP.0057-KA:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0057-KA:Genehmigung:8,0:MON:03.01.2005:02.09.2005
TP.0057-KA:Ausführung:9,9:MON:05.09.2005:28.06.2006
TP.0058-KA:Planung/Grunderwerb:0,0:MON:28.12.2004:28.12.2004
TP.0058-KA:Genehmigung:3,0:MON:29.12.2004:24.03.2005
TP.0058-KA:Ausführung:33,0:MON:29.03.2005:21.12.2007
TP.0059-KA:Planung/Grunderwerb:5,9:MON:29.12.2004:23.06.2005
TP.0059-KA:Genehmigung:6,0:MON:24.06.2005:23.12.2005
TP.0059-KA:Ausführung:26,0:MON:27.12.2005:22.02.2008
TP.0062-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0062-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0062-TSP:Ausführung:72,0:MON:03.01.2005:30.12.2010
TP.0063-TSP:Planung/Grunderwerb:12,0:MON:03.01.2005:02.01.2006
TP.0063-TSP:Genehmigung:0,0:MON:02.01.2006:02.01.2006
TP.0063-TSP:Ausführung:0,0:MON:02.01.2006:02.01.2006
TP.0067-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0067-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0067-TSP:Ausführung:24,0:MON:03.01.2005:02.01.2007
TP.0067-EIN:Einnahmen:0,0:MON:28.09.2005:28.09.2005
TP.0073-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0073-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0073-TSP:Ausführung:60,0:MON:03.01.2005:30.12.2009
TP.0074-TSP:Planung/Grunderwerb:0,0:MON:29.12.2004:29.12.2004
TP.0074-TSP:Genehmigung:0,0:MON:29.12.2004:29.12.2004
TP.0074-TSP:Ausführung:24,0:MON:29.12.2004:28.12.2006
TP.0076-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0076-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0076-TSP:Ausführung:72,0:MON:03.01.2005:30.12.2010
TP.0078-TSP:Planung/Grunderwerb:0,0:MON:02.01.2007:02.01.2007
TP.0078-TSP:Genehmigung:0,0:MON:02.01.2007:02.01.2007
TP.0078-TSP:Ausführung:48,0:MON:02.01.2007:30.12.2010
TP.0080-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0080-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0080-TSP:Ausführung:36,0:MON:03.01.2005:02.01.2008
TP.0081-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0081-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0081-TSP:Ausführung:12,0:MON:03.01.2005:02.01.2006
TP.0082-TSP:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0082-TSP:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0082-TSP:Ausführung:12,0:MON:03.01.2005:02.01.2006
TP.0086-GEW:Planung/Grunderwerb:24,0:MON:30.12.2004:29.12.2006
TP.0086-GEW:Genehmigung:0,0:MON:29.12.2006:29.12.2006
TP.0086-GEW:Ausführung:0,0:MON:29.12.2006:29.12.2006
TP.0086-EIN:Einnahmen:24,0:MON:03.01.2005:02.01.2007
TP.0087-GEW:Planung/Grunderwerb:12,0:MON:03.01.2005:02.01.2006
TP.0087-GEW:Genehmigung:0,0:MON:02.01.2006:02.01.2006
TP.0087-GEW:Ausführung:0,0:MON:02.01.2006:02.01.2006
TP.0090-GEW:Planung/Grunderwerb:30,0:MON:20.12.2004:19.06.2007
TP.0090-GEW:Genehmigung:18,0:MON:20.06.2007:19.12.2008
TP.0090-GEW:Ausführung:12,0:MON:22.12.2008:18.12.2009
TP.0090-EIN:Einnahmen:48,0:MON:02.01.2006:30.12.2009
TP.0093-GEW:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0093-GEW:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0093-GEW:Ausführung:12,0:MON:03.01.2005:02.01.2006
TP.0093-EIN:Einnahmen:0,0:MON:02.01.2005:02.01.2005
TP.0096-GEW:Planung/Grunderwerb:30,0:MON:30.12.2004:29.06.2007
TP.0096-GEW:Genehmigung:18,0:MON:02.07.2007:29.12.2008
TP.0096-GEW:Ausführung:12,0:MON:30.12.2008:29.12.2009
TP.0096-EIN:Einnahmen:24,0:MON:28.12.2007:23.12.2009
TP.0100-GEW:Planung/Grunderwerb:24,0:MON:30.12.2004:29.12.2006
TP.0100-GEW:Genehmigung:0,0:MON:29.12.2006:29.12.2006
TP.0100-GEW:Ausführung:0,0:MON:29.12.2006:29.12.2006
TP.0100-EIN:Einnahmen:12,0:MON:30.12.2005:29.12.2006
TP.0101-GEW:Planung/Grunderwerb:18,0:MON:03.01.2005:30.06.2006
TP.0101-GEW:Genehmigung:18,0:MON:03.07.2006:28.12.2007
TP.0101-GEW:Ausführung:12,0:MON:02.01.2008:23.12.2008
TP.0101-EIN:Einnahmen:48,0:MON:03.01.2005:02.01.2009
TP.0103-GEW:Planung/Grunderwerb:30,0:MON:27.12.2004:26.06.2007
TP.0103-GEW:Genehmigung:18,0:MON:27.06.2007:23.12.2008
TP.0103-GEW:Ausführung:12,0:MON:29.12.2008:23.12.2009
TP.0103-EIN:Einnahmen:60,0:MON:03.01.2005:30.12.2009
TP.0104-GEW:Planung/Grunderwerb:54,0:MON:30.12.2004:29.06.2009
TP.0104-GEW:Genehmigung:18,0:MON:30.06.2009:29.12.2010
TP.0104-GEW:Ausführung:12,0:MON:30.12.2010:29.12.2011
TP.0104-EIN:Einnahmen:48,0:MON:02.01.2007:30.12.2010
TP.0106-GEW:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0106-GEW:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0106-GEW:Ausführung:24,0:MON:03.01.2005:02.01.2007
TP.0106-EIN:Einnahmen:24,0:MON:30.12.2004:29.12.2006
TP.0112-HRB:Planung/Grunderwerb:48,0:MON:27.12.2004:23.12.2008
TP.0112-HRB:Genehmigung:0,0:MON:23.12.2008:23.12.2008
TP.0112-HRB:Ausführung:0,0:MON:23.12.2008:23.12.2008
TP.0112-EIN:Einnahmen:36,0:MON:27.12.2005:23.12.2008
TP.0114-GEW:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0114-GEW:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0114-GEW:Ausführung:12,0:MON:03.01.2005:02.01.2006
TP.0114-EIN:Einnahmen:24,0:MON:30.12.2004:29.12.2006
TP.0118-HRB:Planung/Grunderwerb:18,0:MON:27.12.2004:26.06.2006
TP.0118-HRB:Genehmigung:18,0:MON:27.06.2006:21.12.2007
TP.0118-HRB:Ausführung:12,0:MON:27.12.2007:19.12.2008
TP.0118-EIN:Einnahmen:12,0:MON:02.01.2006:29.12.2006
TP.0120-GEW:Planung/Grunderwerb:24,0:MON:02.01.2009:30.12.2010
TP.0120-GEW:Genehmigung:0,0:MON:30.12.2010:30.12.2010
TP.0120-GEW:Ausführung:0,0:MON:30.12.2010:30.12.2010
TP.0120-EIN:Einnahmen:24,0:MON:02.01.2009:30.12.2010
TP.0132-KA:Planung/Grunderwerb:71,9:MON:08.12.1998:02.12.2004
TP.0132-KA:Genehmigung:3,1:MON:03.12.2004:03.03.2005
TP.0132-KA:Ausführung:18,0:MON:04.03.2005:01.09.2006
TP.0140-BAU:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0140-BAU:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0140-BAU:Ausführung:5,9:MON:03.01.2005:28.06.2005
TP.0141-KA:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0141-KA:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0141-KA:Ausführung:24,0:MON:03.01.2005:02.01.2007
TP.0142-RÜB:Planung/Grunderwerb:12,0:MON:02.01.2008:30.12.2008
TP.0142-RÜB:Genehmigung:0,0:MON:30.12.2008:30.12.2008
TP.0142-RÜB:Ausführung:0,0:MON:30.12.2008:30.12.2008
TP.0143-GEW:Planung/Grunderwerb:30,0:MON:03.01.2005:02.07.2007
TP.0143-GEW:Genehmigung:18,0:MON:03.07.2007:02.01.2009
TP.0143-GEW:Ausführung:12,0:MON:05.01.2009:30.12.2009
TP.0143-EIN:Einnahmen:36,0:MON:02.01.2007:30.12.2009
TP.0144-GEW:Planung/Grunderwerb:0,0:MON:29.12.2003:29.12.2003
TP.0144-GEW:Genehmigung:0,0:MON:29.12.2003:29.12.2003
TP.0144-GEW:Ausführung:0,0:MON:29.12.2003:29.12.2003
TP.0144-EIN:Einnahmen:0,0:MON:29.12.2003:29.12.2003
TP.0145-GEW:Planung/Grunderwerb:0,0:MON:30.12.2004:30.12.2004
TP.0145-GEW:Genehmigung:0,0:MON:30.12.2004:30.12.2004
TP.0145-GEW:Ausführung:24,0:MON:30.12.2004:29.12.2006
TP.0145-EIN:Einnahmen:24,0:MON:30.12.2004:29.12.2006
TP.0152-BAU:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0152-BAU:Genehmigung:0,0:MON:03.01.2005:03.01.2005
TP.0152-BAU:Ausführung:36,0:MON:03.01.2005:02.01.2008
TP.0152-BAU:Planung/Grunderwerb:0,0:MON:03.01.2005:03.01.2005
TP.0152-BAU:Genehmigung:0,0:MON:03.01.2005:03.01.2005
